discord_username,Summoner IGN,Rank Score,Stated Rank,Peak Rank,Rank Diff Score,Current Ego Rank,Peak Ego Rank,S2024 S2,S2024 S1,S2023 S3,S2023 S2,S2023 S1
Owen0214,ohiowen#skib | Owen#2879,2.0,Grandmaster,Grandmaster 618 LP,-6.18,,,,,,Grandmaster 618 LP,Master 1 LP
NicoTheBest8321,Niccus#gopha,2.0,Grandmaster,Grandmaster 549 LP,-5.490000000000002,,,Master 68 LP,Grandmaster 549 LP,,Master 125 LP,
levizxy,Levi#NA111 | Prince#LuvGF,2.0,Grandmaster,Grandmaster 491 LP,-4.909999999999997,Master 261 LP,Grandmaster 491 LP,,,,Master 216 LP,
rebornmountainx,RebornMountainx#NA1,3.0,Grandmaster,Grandmaster 382 LP,-3.8200000000000003,,Grandmaster 382 LP,,,,Master 92 LP,Master 104 LP
adlking,Alune#NA999,3.0,Master,Grandmaster 611 LP,-12.11,,,Master 359 LP,Master 277 LP,,Grandmaster 611 LP,
Ritty_lol,Ritty#NA1,3.0,Master,Master 309 LP,-3.09,,,Master 176 LP,Master 228 LP,,,Master 309 LP
different_lol,Different#ADC,6.0,Master,Grandmaster 387 LP,-9.869999999999997,Grandmaster 387 LP,Master 387 LP,Master 141 LP,,,,
Xellius,Xellius#N,nan,Master,Master 163 LP,-1.629999999999999,Master 0 LP,Master 163 LP,,,,Master 0 LP,
ririkaririka,Ririka#6890,8.0,Master,Master 17 LP,-0.1700000000000017,Diamond 3 87 LP,Diamond 2 26 LP,Master 17 LP,,,,
pandaemonium9213,His,9.0,Master,Master 180 LP,-1.8000000000000007,Master 10 LP,Master 180 LP,Master 22 LP,,,,
borria,Borria#NA1,9.0,Master,Master 32 LP,-0.3200000000000003,Master 18 LP,Master 32 LP,Master 12 LP,,,,
thespecial1,TouchVigor#NA1,11.0,Diamond 3,Master 22 LP,-3.219999999999999,,,Diamond 1 46 LP,Master 22 LP,,Master 1 LP,
me.pp,PingSpam#NA1,9.0,Diamond 2,Master 98 LP,-2.9800000000000004,Master 8 LP,Master 8 LP,Master 98 LP,,,,
billy5832,BILLYBILLYBILLY#FATAF,10.0,Diamond 2,Master 331 LP,-5.309999999999999,,Master 116 LP,Master 331 LP,Diamond 3 47 LP,,,
Stl_Slayer_24,Boyrider#fmboy | Stl,10.0,Master,Master 19 LP,-0.19000000000000128,Diamond 2 83 LP,Master 19 LP,,,,,Diamond 3 46 LP
Ticofighter47,Tico#TAHM | ticofighter#NA1,11.0,Master,Master 411 LP,-4.109999999999999,,Master 189 LP,Master 19 LP,Master 411 LP,,,
Pyrosi,Pyrosis#NA1 | Lost,12.0,Master,Master 148 LP,-1.4800000000000004,,,Master 10 LP,,,Master 0 LP,
Ponygafo,Pony#gafo,12.0,Diamond 4,Diamond 4 44 LP,-0.4400000000000013,Emerald 1 63 LP,Emerald 1 63 LP,Diamond 4 44 LP,,,,
eeleeyas,Xiaolong#eelee,13.0,Master,Master 102 LP,-1.0199999999999996,Diamond 3 64 LP,Diamond 2 74 LP,,Master 102 LP,,,
Iateyosushi,hackzorzzzz#NA1,13.0,Diamond 3,Master 32 LP,-3.3200000000000003,,Diamond 4 72 LP,Master 6 LP,Master 32 LP,,,
yeetyoteyate,YeetYoteYate#NA1,13.0,Diamond 3,Master 31 LP,-3.3099999999999987,,Diamond 3 63 LP,Diamond 1 58 LP,Master 31 LP,,,
chubbydumpling,CARPETBOMBCORKI#NA1,14.0,Platinum 1-4,Diamond 4 0 LP,-6.5,,,Emerald 4 26 LP,Emerald 2 62 LP,,Diamond 4 0 LP,
_hyperdragon,Hyperdragon#Ellie,14.0,Diamond 3,Master 1 LP,-3.0100000000000016,,,Diamond 1 22 LP,,,Master 1 LP,Diamond 3 47 LP
jayrich1101,PeepaTheHound#Molly,14.0,Diamond 3,Diamond 4 15 LP,0.8500000000000014,Diamond 4 11 LP,Diamond 4 15 LP,Emerald 4 0 LP,,,,
ifearnobody,I,14.0,Diamond 3,Master 0 LP,-3.0,,Diamond 3 70 LP,,,,Diamond 1 0 LP,Master 0 LP
bluewu.,Blue#UU70,14.0,Diamond 2,Master 15 LP,-2.1499999999999986,,Diamond 2 49 LP,Master 15 LP,,,,
ffsfruit,NAQI#crack,15.0,Diamond 4,Diamond 2 6 LP,-2.0599999999999987,,Diamond 2 6 LP,Diamond 4 20 LP,,,Diamond 3 63 LP,
DavidEdge,DavidEdge#NA1,15.0,Diamond 2,Diamond 2 57 LP,-0.5700000000000003,,Diamond 4 8 LP,Diamond 4 65 LP,Diamond 2 57 LP,,,
hwasal06,SEXWOMY#NA1,15.0,Diamond 1,Emerald 3 13 LP,5.870000000000001,,,Emerald 3 1 LP,Emerald 4 61 LP,,Emerald 3 13 LP,
